chromosome	start	end	arm
1	10000	121500000	p
1	142600000	249250621	q
2	10000	90500000	p
2	96800000	243199373	q
3	10000	87900000	p
3	98300000	198022430	q
4	10000	48200000	p
4	52700000	191154276	q
5	10000	46100000	p
5	50700000	180915260	q
6	10000	58700000	p
6	63300000	171115067	q
7	10000	58000000	p
7	61700000	159138663	q
8	10000	43100000	p
8	48100000	146364022	q
9	10000	47300000	p
9	65900000	141213431	q
10	10000	38000000	p
10	42300000	135534747	q
11	10000	51600000	p
11	55700000	135006516	q
12	10000	33300000	p
12	38200000	133851895	q
13	10000	16000000	p
13	19500000	115169878	q
14	10000	14000000	p
14	19100000	107349540	q
15	10000	14000000	p
15	20700000	102531392	q
16	10000	34600000	p
16	47000000	90354753	q
17	10000	22200000	p
17	25800000	81195210	q
18	10000	15400000	p
18	19000000	78077248	q
19	10000	20000000	p
19	32400000	59128983	q
20	10000	25600000	p
20	29400000	63025520	q
21	10000	10000000	p
21	14300000	48129895	q
22	10000	11900000	p
22	17900000	51304566	q
X	10000	58100000	p
X	63000000	155270560	q
Y	10000	11600000	p
Y	13400000	28800000	q
