chromosome	start	end	arm
chr1	10000	121500000	p
chr1	142600000	249250621	q
chr2	10000	90500000	p
chr2	96800000	243199373	q
chr3	10000	87900000	p
chr3	98300000	198022430	q
chr4	10000	48200000	p
chr4	52700000	191154276	q
chr5	10000	46100000	p
chr5	50700000	180915260	q
chr6	10000	58700000	p
chr6	63300000	171115067	q
chr7	10000	58000000	p
chr7	61700000	159138663	q
chr8	10000	43100000	p
chr8	48100000	146364022	q
chr9	10000	47300000	p
chr9	65900000	141213431	q
chr10	10000	38000000	p
chr10	42300000	135534747	q
chr11	10000	51600000	p
chr11	55700000	135006516	q
chr12	10000	33300000	p
chr12	38200000	133851895	q
chr13	10000	16000000	p
chr13	19500000	115169878	q
chr14	10000	14000000	p
chr14	19100000	107349540	q
chr15	10000	14000000	p
chr15	20700000	102531392	q
chr16	10000	34600000	p
chr16	47000000	90354753	q
chr17	10000	22200000	p
chr17	25800000	81195210	q
chr18	10000	15400000	p
chr18	19000000	78077248	q
chr19	10000	20000000	p
chr19	32400000	59128983	q
chr20	10000	25600000	p
chr20	29400000	63025520	q
chr21	10000	10000000	p
chr21	14300000	48129895	q
chr22	10000	11900000	p
chr22	17900000	51304566	q
chrX	10000	58100000	p
chrX	63000000	155270560	q
chrY	10000	11600000	p
chrY	13400000	28800000	q
